09:44:56 462	ProcessID:18504,ThreadID:23244,RefCount:0
09:44:56 463	ProcessID:18504,ThreadID:17388,RefCount:0
09:44:56 463	ProcessID:18504,ThreadID:13280,RefCount:0
09:44:56 463	ProcessID:18504,ThreadID:8728,RefCount:0
11:07:52 815	Load Setting ok
11:07:52 924	RKAndroidTool v1.3.7.0 Start Run
11:07:53 002	Scan thread:6956
11:07:53 002	Info:(thread=6844)IoControlProc-->DeviceIoControl In
11:07:53 002	Info:(thread=6844)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:07:53 002	Info:(thread=6872)IoControlProc-->DeviceIoControl In
11:07:53 049	ProcessID:6812,ThreadID:6524,RefCount:0
11:07:53 049	ProcessID:6812,ThreadID:6956,RefCount:0
11:07:53 049	ProcessID:6812,ThreadID:6872,RefCount:0
11:07:53 143	Info:(thread=6872)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:07:53 143	Info:(thread=4972)IoControlProc-->DeviceIoControl In
11:07:53 143	Info:(thread=4972)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:07:53 143	Info:(thread=6948)IoControlProc-->DeviceIoControl In
11:07:53 143	Info:(thread=6948)IoControlProc-->DeviceIoControl Out,ret=1,err=183
11:08:39 040	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=5292
11:08:39 040	INFO:开始测试设备
11:08:39 040	INFO:执行开始
11:08:39 040	INFO:测试设备成功
11:08:39 040	INFO:开始下载文件
11:08:39 040	INFO: Start to download files to flash,backup offset=0x20000
11:08:39 040	INFO:开始下载文件到Flash
11:08:39 040	Info:RKA_File_Download start,file=kernel,offset=0x4000
11:08:39 837	INFO: Download files to flash finished,Total(4078240)B
11:08:39 837	INFO: Start to check data
11:08:39 837	INFO:开始校验下载数据
11:08:39 837	Info:RKA_File_Check start,file=kernel,offset=0x4000
11:08:40 134	INFO:下载文件成功,耗时(1094MS)
11:08:40 150	INFO:执行成功
11:20:29 066	Image Thread Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3572
11:20:29 066	INFO:开始测试设备
11:20:29 066	INFO:执行开始
11:20:31 113	INFO:测试设备成功
11:20:31 113	INFO:开始下载文件
11:20:31 128	INFO: Start to download files to flash,backup offset=0x20000
11:20:31 128	INFO:开始下载文件到Flash
11:20:31 128	Info:RKA_File_Download start,file=kernel,offset=0x4000
11:20:31 956	INFO: Download files to flash finished,Total(4078240)B
11:20:31 956	INFO: Start to check data
11:20:31 956	INFO:开始校验下载数据
11:20:31 972	Info:RKA_File_Check start,file=kernel,offset=0x4000
11:20:32 253	INFO:下载文件成功,耗时(1125MS)
11:20:32 269	INFO:执行成功
11:23:19 685	INFO:开始擦除IDB
11:23:19 701	INFO:开始低格设备
11:23:21 763	INFO:低格设备成功
11:23:21 763	INFO:擦除IDB成功
11:23:53 756	INFO:开始擦除IDB
11:23:53 756	INFO:开始低格设备
11:24:03 039	INFO:低格设备成功
11:24:03 039	INFO:擦除IDB成功
11:24:15 645	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=6792
11:24:15 645	INFO:开始测试设备
11:24:15 645	INFO:执行开始
11:24:15 661	INFO:测试设备成功
11:24:15 661	INFO:开始写入ID_BLOCK
11:24:15 661	Flash Chip Information:
11:24:15 676	NO		SIZE(MB)	Manufacturer
11:24:15 676	----------------------------------------------
11:24:15 676	0		8192MB	MICRON
11:24:15 676	----------------------------------------------
11:24:15 676	INFO:BuildFlashStateMap start
11:24:15 676	INFO: FindAllIDB start
11:24:15 676	INFO:UpdateIDBData start
11:24:15 708	INFO:Serial Number(0):
11:24:15 708	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:24:15 708	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:24:15 708	INFO:UID(30):
11:24:15 708	00000000: 52 4F 43 4B 43 48 49 50 55 D3 3C 0A 58 6C 85 C5 
11:24:15 708	00000010: D1 14 2C 45 83 82 B3 A1 C2 EA 3D 90 98 AB 
11:24:15 708	INFO:BlueTooth(0):
11:24:15 708	00000000: 00 00 00 00 00 00 
