10:23:00 653	Load Setting ok
10:23:00 938	RKAndroidTool v1.3.7.0 Start Run
10:23:00 947	Scan thread:280
10:23:00 974	Info:(thread=2272)IoControlProc-->DeviceIoControl In
10:23:01 028	ProcessID:3220,ThreadID:3180,RefCount:0
10:23:01 037	ProcessID:3220,ThreadID:2436,RefCount:0
10:23:01 045	ProcessID:3220,ThreadID:2524,RefCount:0
10:23:01 054	ProcessID:3220,ThreadID:280,RefCount:0
10:23:01 072	ProcessID:3220,ThreadID:2272,RefCount:0
10:23:01 126	Info:(thread=2272)IoControlProc-->DeviceIoControl Out,ret=1,err=0
10:30:00 010	Loader Device Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3772
10:30:00 030	INFO:执行开始
10:30:00 050	INFO:开始测试设备
10:30:00 110	INFO:测试设备成功
10:30:00 130	INFO:开始写入ID_BLOCK
10:30:00 180	Flash Chip Information:
10:30:00 190	NO		SIZE(MB)	Manufacturer
10:30:00 210	----------------------------------------------
10:30:00 270	0		15028MB	SAMSUNG
10:30:00 290	----------------------------------------------
10:30:00 310	INFO:BuildFlashStateMap start
10:30:00 340	INFO: FindAllIDB start
10:30:00 460	INFO:UpdateIDBData start
10:30:00 711	INFO:Serial Number(0):
10:30:00 731	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
10:30:00 751	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
10:30:00 781	INFO:UID(0):
10:30:00 801	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
10:30:00 811	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
10:30:00 831	INFO:BlueTooth(0):
10:30:00 841	00000000: 00 00 00 00 00 00 
10:30:00 861	INFO:Mac(0):
10:30:00 871	00000000: 00 00 00 00 00 00 
10:30:00 891	INFO:WriteXIDBlock start
10:30:00 951	INFO:MakeEccSpareData start
10:30:00 971	INFO:WriteXIDBlock start
10:30:01 001	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
10:30:01 011	INFO:Writing sector 00000000 ~ 00000015 ... 
10:30:01 111	INFO:Reading sector 00000000 ~ 00000015 ... 
10:30:01 151	INFO:check start
10:30:01 161	INFO:Writing sector 00000016 ~ 00000031 ... 
10:30:01 211	INFO:Reading sector 00000016 ~ 00000031 ... 
10:30:01 271	INFO:check start
10:30:01 281	INFO:Writing sector 00000032 ~ 00000047 ... 
10:30:01 311	INFO:Reading sector 00000032 ~ 00000047 ... 
10:30:01 382	INFO:check start
10:30:01 412	INFO:Writing sector 00000048 ~ 00000063 ... 
10:30:01 462	INFO:Reading sector 00000048 ~ 00000063 ... 
10:30:01 522	INFO:check start
10:30:01 532	INFO:Writing sector 00000064 ~ 00000079 ... 
10:30:01 572	INFO:Reading sector 00000064 ~ 00000079 ... 
10:30:01 632	INFO:check start
10:30:01 652	INFO:Writing sector 00000080 ~ 00000095 ... 
10:30:01 692	INFO:Reading sector 00000080 ~ 00000095 ... 
10:30:01 752	INFO:check start
10:30:01 782	INFO:Writing sector 00000096 ~ 00000111 ... 
10:30:01 832	INFO:Reading sector 00000096 ~ 00000111 ... 
10:30:01 892	INFO:check start
10:30:01 902	INFO:Writing sector 00000112 ~ 00000127 ... 
10:30:01 942	INFO:Reading sector 00000112 ~ 00000127 ... 
10:30:01 992	INFO:check start
10:30:02 012	INFO:Writing sector 00000128 ~ 00000143 ... 
10:30:02 053	INFO:Reading sector 00000128 ~ 00000143 ... 
10:30:02 093	INFO:check start
10:30:02 113	INFO:Writing sector 00000144 ~ 00000159 ... 
10:30:02 153	INFO:Reading sector 00000144 ~ 00000159 ... 
10:30:02 223	INFO:check start
10:30:02 233	INFO:Writing sector 00000160 ~ 00000175 ... 
10:30:02 273	INFO:Reading sector 00000160 ~ 00000175 ... 
10:30:02 323	INFO:check start
10:30:02 333	INFO:Writing sector 00000176 ~ 00000191 ... 
10:30:02 383	INFO:Reading sector 00000176 ~ 00000191 ... 
10:30:02 433	INFO:check start
10:30:02 443	INFO:Writing sector 00000192 ~ 00000207 ... 
10:30:02 483	INFO:Reading sector 00000192 ~ 00000207 ... 
10:30:02 543	INFO:check start
10:30:02 553	INFO:Writing sector 00000208 ~ 00000223 ... 
10:30:02 593	INFO:Reading sector 00000208 ~ 00000223 ... 
10:30:02 633	INFO:check start
10:30:02 653	INFO:Writing sector 00000224 ~ 00000239 ... 
10:30:02 724	INFO:Reading sector 00000224 ~ 00000239 ... 
10:30:02 764	INFO:check start
10:30:02 774	INFO:Writing sector 00000240 ~ 00000247 ... 
10:30:02 844	INFO:Reading sector 00000240 ~ 00000247 ... 
10:30:02 914	INFO:check start
10:30:02 944	INFO:Writeing the 2th ID Block，Pos：00001024(SEC)
10:30:02 964	INFO:Writing sector 00001024 ~ 00001039 ... 
10:30:03 004	INFO:Reading sector 00001024 ~ 00001039 ... 
10:30:03 034	INFO:check start
10:30:03 064	INFO:Writing sector 00001040 ~ 00001055 ... 
10:30:03 134	INFO:Reading sector 00001040 ~ 00001055 ... 
10:30:03 174	INFO:check start
10:30:03 194	INFO:Writing sector 00001056 ~ 00001071 ... 
10:30:03 244	INFO:Reading sector 00001056 ~ 00001071 ... 
10:30:03 294	INFO:check start
10:30:03 314	INFO:Writing sector 00001072 ~ 00001087 ... 
10:30:03 344	INFO:Reading sector 00001072 ~ 00001087 ... 
10:30:03 435	INFO:check start
10:30:03 455	INFO:Writing sector 00001088 ~ 00001103 ... 
10:30:03 485	INFO:Reading sector 00001088 ~ 00001103 ... 
10:30:03 525	INFO:check start
10:30:03 545	INFO:Writing sector 00001104 ~ 00001119 ... 
10:30:03 595	INFO:Reading sector 00001104 ~ 00001119 ... 
10:30:03 635	INFO:check start
10:30:03 655	INFO:Writing sector 00001120 ~ 00001135 ... 
10:30:03 695	INFO:Reading sector 00001120 ~ 00001135 ... 
10:30:03 735	INFO:check start
10:30:03 785	INFO:Writing sector 00001136 ~ 00001151 ... 
10:30:03 815	INFO:Reading sector 00001136 ~ 00001151 ... 
10:30:03 865	INFO:check start
10:30:03 885	INFO:Writing sector 00001152 ~ 00001167 ... 
10:30:03 925	INFO:Reading sector 00001152 ~ 00001167 ... 
10:30:03 965	INFO:check start
10:30:03 975	INFO:Writing sector 00001168 ~ 00001183 ... 
10:30:04 045	INFO:Reading sector 00001168 ~ 00001183 ... 
10:30:04 085	INFO:check start
10:30:04 095	INFO:Writing sector 00001184 ~ 00001199 ... 
10:30:04 136	INFO:Reading sector 00001184 ~ 00001199 ... 
10:30:04 176	INFO:check start
10:30:04 186	INFO:Writing sector 00001200 ~ 00001215 ... 
10:30:04 206	INFO:Reading sector 00001200 ~ 00001215 ... 
10:30:04 246	INFO:check start
10:30:04 276	INFO:Writing sector 00001216 ~ 00001231 ... 
10:30:04 306	INFO:Reading sector 00001216 ~ 00001231 ... 
10:30:04 346	INFO:check start
10:30:04 366	INFO:Writing sector 00001232 ~ 00001247 ... 
10:30:04 406	INFO:Reading sector 00001232 ~ 00001247 ... 
10:30:04 446	INFO:check start
10:30:04 466	INFO:Writing sector 00001248 ~ 00001263 ... 
10:30:04 506	INFO:Reading sector 00001248 ~ 00001263 ... 
10:30:04 566	INFO:check start
10:30:04 586	INFO:Writing sector 00001264 ~ 00001271 ... 
10:30:04 616	INFO:Reading sector 00001264 ~ 00001271 ... 
10:30:04 656	INFO:check start
10:30:04 686	INFO:Writeing the 3th ID Block，Pos：00002048(SEC)
10:30:04 696	INFO:Writing sector 00002048 ~ 00002063 ... 
10:30:04 796	INFO:Reading sector 00002048 ~ 00002063 ... 
10:30:04 847	INFO:check start
10:30:04 867	INFO:Writing sector 00002064 ~ 00002079 ... 
10:30:04 907	INFO:Reading sector 00002064 ~ 00002079 ... 
10:30:04 947	INFO:check start
10:30:04 957	INFO:Writing sector 00002080 ~ 00002095 ... 
10:30:05 007	INFO:Reading sector 00002080 ~ 00002095 ... 
10:30:05 097	INFO:check start
10:30:05 107	INFO:Writing sector 00002096 ~ 00002111 ... 
10:30:05 147	INFO:Reading sector 00002096 ~ 00002111 ... 
10:30:05 207	INFO:check start
10:30:05 227	INFO:Writing sector 00002112 ~ 00002127 ... 
10:30:05 257	INFO:Reading sector 00002112 ~ 00002127 ... 
10:30:05 297	INFO:check start
10:30:05 327	INFO:Writing sector 00002128 ~ 00002143 ... 
10:30:05 377	INFO:Reading sector 00002128 ~ 00002143 ... 
10:30:05 427	INFO:check start
10:30:05 467	INFO:Writing sector 00002144 ~ 00002159 ... 
10:30:05 498	INFO:Reading sector 00002144 ~ 00002159 ... 
10:30:05 538	INFO:check start
10:30:05 558	INFO:Writing sector 00002160 ~ 00002175 ... 
10:30:05 588	INFO:Reading sector 00002160 ~ 00002175 ... 
10:30:05 628	INFO:check start
10:30:05 638	INFO:Writing sector 00002176 ~ 00002191 ... 
10:30:05 688	INFO:Reading sector 00002176 ~ 00002191 ... 
10:30:05 728	INFO:check start
10:30:05 738	INFO:Writing sector 00002192 ~ 00002207 ... 
10:30:05 788	INFO:Reading sector 00002192 ~ 00002207 ... 
10:30:05 818	INFO:check start
10:30:05 828	INFO:Writing sector 00002208 ~ 00002223 ... 
10:30:05 868	INFO:Reading sector 00002208 ~ 00002223 ... 
10:30:05 918	INFO:check start
10:30:05 928	INFO:Writing sector 00002224 ~ 00002239 ... 
10:30:05 968	INFO:Reading sector 00002224 ~ 00002239 ... 
10:30:05 998	INFO:check start
10:30:06 028	INFO:Writing sector 00002240 ~ 00002255 ... 
10:30:06 058	INFO:Reading sector 00002240 ~ 00002255 ... 
10:30:06 118	INFO:check start
