09:51:53 295	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2936
09:51:53 355	INFO:执行开始
09:51:53 405	INFO:开始测试设备
09:51:53 505	INFO:测试设备成功
09:51:53 545	INFO:开始下载文件
09:51:53 616	INFO: Start to download files to flash,backup offset=0x20000
09:51:53 636	INFO:开始下载文件到Flash
09:51:53 666	Info:RKA_File_Download start,file=kernel,offset=0x4000
09:51:58 653	INFO: Download files to flash finished,Total(7434288)B
09:51:58 683	INFO: Start to check data
09:51:58 763	INFO:开始校验下载数据
09:51:58 823	Info:RKA_File_Check start,file=kernel,offset=0x4000
09:52:00 085	INFO:下载文件成功,耗时(6509MS)
09:52:00 556	INFO:执行成功
10:03:59 379	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2848
10:03:59 519	INFO:执行开始
10:03:59 710	INFO:开始测试设备
10:04:00 020	INFO:测试设备成功
10:04:00 180	INFO:开始下载文件
10:04:00 371	INFO: Start to download files to flash,backup offset=0x20000
10:04:00 501	INFO:开始下载文件到Flash
10:04:00 621	Info:RKA_File_Download start,file=kernel,offset=0x4000
10:04:08 242	INFO: Download files to flash finished,Total(7434288)B
10:04:08 332	INFO: Start to check data
10:04:08 823	INFO:开始校验下载数据
10:04:08 903	Info:RKA_File_Check start,file=kernel,offset=0x4000
10:04:10 786	INFO:下载文件成功,耗时(10445MS)
10:04:11 056	INFO:执行成功
10:08:41 365	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=376
10:08:41 385	INFO:执行开始
10:08:41 495	INFO:开始测试设备
10:08:41 635	INFO:测试设备成功
10:08:41 675	INFO:开始下载文件
10:08:41 765	INFO: Start to download files to flash,backup offset=0x20000
10:08:41 805	INFO:开始下载文件到Flash
10:08:41 845	Info:RKA_File_Download start,file=kernel,offset=0x4000
10:08:44 629	INFO: Download files to flash finished,Total(7434288)B
10:08:44 669	INFO: Start to check data
10:08:44 699	INFO:开始校验下载数据
10:08:44 719	Info:RKA_File_Check start,file=kernel,offset=0x4000
10:08:46 732	INFO:下载文件成功,耗时(4978MS)
10:08:47 133	INFO:执行成功
10:12:56 792	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3800
10:12:56 842	INFO:执行开始
10:12:56 932	INFO:开始测试设备
10:12:57 122	INFO:测试设备成功
10:12:57 193	INFO:开始下载文件
10:12:57 303	INFO: Start to download files to flash,backup offset=0x20000
10:12:57 363	INFO:开始下载文件到Flash
10:12:57 563	Info:RKA_File_Download start,file=kernel,offset=0x4000
10:13:01 909	INFO: Download files to flash finished,Total(7417904)B
10:13:01 999	INFO: Start to check data
10:13:02 070	INFO:开始校验下载数据
10:13:02 200	Info:RKA_File_Check start,file=kernel,offset=0x4000
10:13:03 862	INFO:下载文件成功,耗时(6589MS)
10:13:04 263	INFO:执行成功
11:28:01 519	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=3476
11:28:01 559	INFO:执行开始
11:28:01 610	INFO:开始测试设备
11:28:01 740	INFO:测试设备成功
11:28:01 880	INFO:开始下载文件
11:28:01 980	INFO: Start to download files to flash,backup offset=0x20000
11:28:02 080	INFO:开始下载文件到Flash
