15:47:25 512	Load Setting ok
15:47:25 651	RKAndroidTool v1.3.7.0 Start Run
15:47:25 659	Scan thread:5092
15:47:25 681	ProcessID:4212,ThreadID:7228,RefCount:0
15:47:25 682	ProcessID:4212,ThreadID:4356,RefCount:0
15:47:25 683	ProcessID:4212,ThreadID:5092,RefCount:0
15:47:25 702	Info:(thread=4372)IoControlProc-->DeviceIoControl In
15:47:25 702	Info:(thread=4372)IoControlProc-->DeviceIoControl Out,ret=1,err=183
15:47:25 765	Info:(thread=1464)IoControlProc-->DeviceIoControl In
15:47:25 766	Info:(thread=1464)IoControlProc-->DeviceIoControl Out,ret=1,err=183
15:47:51 314	MaskRom Device Path(\\?\USB#VID_2207&PID_310B#5&90CB361&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),threadID=1064
15:47:51 314	INFO:开始下载Boot
15:47:51 316	INFO:执行开始
15:47:51 808	INFO:Download USBData OK
15:47:52 946	INFO:Download USBBoot OK
15:47:52 946	INFO:下载Boot成功
15:47:54 948	INFO:开始测试设备
15:47:54 965	INFO:测试设备成功
15:47:54 967	INFO:开始写入ID_BLOCK
15:47:54 972	Flash Chip Information:
15:47:54 972	NO		SIZE(MB)	Manufacturer
15:47:54 972	----------------------------------------------
15:47:54 973	0		8192MB	HYNIX
15:47:54 974	----------------------------------------------
15:47:56 453	INFO:IDBlock Count:0,Offset(0,0,0,0,0)
15:47:56 454	INFO: Erase Flash start
15:47:56 454	INFO: Erasing 0th chip，Blocks(4096)
15:47:56 454	Flash(0) - Erasing: 00000000 ~ 00000127 ... 
15:47:56 602	Good block
15:47:56 603	Flash(0) - Erasing: 00000128 ~ 00000255 ... 
15:47:56 608	Good block
15:47:56 609	Flash(0) - Erasing: 00000256 ~ 00000383 ... 
15:47:56 609	Good block
15:47:56 610	Flash(0) - Erasing: 00000384 ~ 00000511 ... 
15:47:56 611	Good block
15:47:56 611	Flash(0) - Erasing: 00000512 ~ 00000639 ... 
15:47:56 612	Good block
15:47:56 612	Flash(0) - Erasing: 00000640 ~ 00000767 ... 
15:47:56 614	Good block
15:47:56 614	Flash(0) - Erasing: 00000768 ~ 00000895 ... 
15:47:56 615	Good block
15:47:56 615	Flash(0) - Erasing: 00000896 ~ 00001023 ... 
15:47:56 616	Good block
15:47:56 616	Flash(0) - Erasing: 00001024 ~ 00001151 ... 
15:47:56 617	Good block
15:47:56 617	Flash(0) - Erasing: 00001152 ~ 00001279 ... 
15:47:56 618	Good block
15:47:56 618	Flash(0) - Erasing: 00001280 ~ 00001407 ... 
15:47:56 619	Good block
15:47:56 619	Flash(0) - Erasing: 00001408 ~ 00001535 ... 
15:47:56 620	Good block
15:47:56 620	Flash(0) - Erasing: 00001536 ~ 00001663 ... 
15:47:56 621	Good block
15:47:56 621	Flash(0) - Erasing: 00001664 ~ 00001791 ... 
15:47:56 622	Good block
15:47:56 622	Flash(0) - Erasing: 00001792 ~ 00001919 ... 
15:47:56 623	Good block
15:47:56 623	Flash(0) - Erasing: 00001920 ~ 00002047 ... 
15:47:56 624	Good block
15:47:56 624	Flash(0) - Erasing: 00002048 ~ 00002175 ... 
15:47:56 625	Good block
15:47:56 625	Flash(0) - Erasing: 00002176 ~ 00002303 ... 
15:47:56 627	Good block
15:47:56 627	Flash(0) - Erasing: 00002304 ~ 00002431 ... 
15:47:56 628	Good block
15:47:56 628	Flash(0) - Erasing: 00002432 ~ 00002559 ... 
15:47:56 629	Good block
15:47:56 631	Flash(0) - Erasing: 00002560 ~ 00002687 ... 
15:47:56 634	Good block
15:47:56 634	Flash(0) - Erasing: 00002688 ~ 00002815 ... 
15:47:56 635	Good block
15:47:56 635	Flash(0) - Erasing: 00002816 ~ 00002943 ... 
15:47:56 638	Good block
15:47:56 639	Flash(0) - Erasing: 00002944 ~ 00003071 ... 
15:47:56 639	Good block
15:47:56 640	Flash(0) - Erasing: 00003072 ~ 00003199 ... 
15:47:56 640	Good block
15:47:56 641	Flash(0) - Erasing: 00003200 ~ 00003327 ... 
15:47:56 642	Good block
15:47:56 643	Flash(0) - Erasing: 00003328 ~ 00003455 ... 
15:47:56 644	Good block
15:47:56 644	Flash(0) - Erasing: 00003456 ~ 00003583 ... 
15:47:56 645	Good block
15:47:56 645	Flash(0) - Erasing: 00003584 ~ 00003711 ... 
15:47:56 646	Good block
15:47:56 646	Flash(0) - Erasing: 00003712 ~ 00003839 ... 
15:47:56 647	Good block
15:47:56 647	Flash(0) - Erasing: 00003840 ~ 00003967 ... 
15:47:56 648	Good block
15:47:56 648	Flash(0) - Erasing: 00003968 ~ 00004095 ... 
15:47:56 649	Good block
15:47:56 649	INFO:BuildFlashStateMap start
15:47:56 650	INFO:MakeSysReservedBlockAddr start
15:47:56 650	INFO:MakeIDBlockData start
15:47:56 651	INFO:MakeEccSpareData start
15:47:56 660	INFO:WriteXIDBlock start
15:47:56 660	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
15:47:56 661	INFO:Writing sector 00000000 ~ 00000015 ... 
15:47:56 669	INFO:Reading sector 00000000 ~ 00000015 ... 
15:47:56 674	INFO:check start
15:47:56 674	INFO:Writing sector 00000016 ~ 00000031 ... 
15:47:56 683	INFO:Reading sector 00000016 ~ 00000031 ... 
15:47:56 687	INFO:check start
15:47:56 688	INFO:Writing sector 00000032 ~ 00000047 ... 
15:47:56 696	INFO:Reading sector 00000032 ~ 00000047 ... 
15:47:56 700	INFO:check start
15:47:56 701	INFO:Writing sector 00000048 ~ 00000063 ... 
15:47:56 709	INFO:Reading sector 00000048 ~ 00000063 ... 
15:47:56 713	INFO:check start
15:47:56 714	INFO:Writing sector 00000064 ~ 00000079 ... 
15:47:56 722	INFO:Reading sector 00000064 ~ 00000079 ... 
15:47:56 727	INFO:check start
15:47:56 727	INFO:Writing sector 00000080 ~ 00000095 ... 
15:47:56 735	INFO:Reading sector 00000080 ~ 00000095 ... 
15:47:56 740	INFO:check start
15:47:56 740	INFO:Writing sector 00000096 ~ 00000111 ... 
15:47:56 753	INFO:Reading sector 00000096 ~ 00000111 ... 
15:47:56 759	INFO:check start
15:47:56 759	INFO:Writing sector 00000112 ~ 00000127 ... 
15:47:56 768	INFO:Reading sector 00000112 ~ 00000127 ... 
15:47:56 772	INFO:check start
15:47:56 773	INFO:Writing sector 00000128 ~ 00000143 ... 
15:47:56 781	INFO:Reading sector 00000128 ~ 00000143 ... 
15:47:56 785	INFO:check start
15:47:56 786	INFO:Writing sector 00000144 ~ 00000159 ... 
15:47:56 794	INFO:Reading sector 00000144 ~ 00000159 ... 
15:47:56 798	INFO:check start
15:47:56 799	INFO:Writing sector 00000160 ~ 00000175 ... 
15:47:56 808	INFO:Reading sector 00000160 ~ 00000175 ... 
15:47:56 813	INFO:check start
15:47:56 814	INFO:Writing sector 00000176 ~ 00000191 ... 
15:47:56 822	INFO:Reading sector 00000176 ~ 00000191 ... 
15:47:56 827	INFO:check start
15:47:56 828	INFO:Writing sector 00000192 ~ 00000207 ... 
15:47:56 836	INFO:Reading sector 00000192 ~ 00000207 ... 
15:47:56 841	INFO:check start
15:47:56 841	INFO:Writing sector 00000208 ~ 00000223 ... 
15:47:56 850	INFO:Reading sector 00000208 ~ 00000223 ... 
15:47:56 856	INFO:check start
15:47:56 856	INFO:Writing sector 00000224 ~ 00000239 ... 
15:47:56 867	INFO:Reading sector 00000224 ~ 00000239 ... 
15:47:56 871	INFO:check start
15:47:56 871	INFO:Writing sector 00000240 ~ 00000247 ... 
15:47:56 876	INFO:Reading sector 00000240 ~ 00000247 ... 
15:47:56 878	INFO:check start
15:47:56 879	INFO:Writeing the 2th ID Block，Pos：00004096(SEC)
15:47:56 879	INFO:Writing sector 00004096 ~ 00004111 ... 
15:47:56 888	INFO:Reading sector 00004096 ~ 00004111 ... 
15:47:56 892	INFO:check start
15:47:56 893	INFO:Writing sector 00004112 ~ 00004127 ... 
15:47:56 902	INFO:Reading sector 00004112 ~ 00004127 ... 
15:47:56 906	INFO:check start
15:47:56 907	INFO:Writing sector 00004128 ~ 00004143 ... 
15:47:56 917	INFO:Reading sector 00004128 ~ 00004143 ... 
15:47:56 931	INFO:check start
15:47:56 932	INFO:Writing sector 00004144 ~ 00004159 ... 
15:47:56 949	INFO:Reading sector 00004144 ~ 00004159 ... 
