11:41:03 657	Load Setting ok
11:41:04 268	RKAndroidTool v1.3.7.0 Start Run
11:41:04 328	Scan thread:3092
11:41:04 358	Info:(thread=2228)IoControlProc-->DeviceIoControl In
11:41:04 449	ProcessID:1312,ThreadID:2780,RefCount:0
11:41:04 509	ProcessID:1312,ThreadID:2900,RefCount:0
11:41:04 559	ProcessID:1312,ThreadID:128,RefCount:0
11:41:04 589	Info:(thread=2228)IoControlProc-->DeviceIoControl Out,ret=1,err=0
11:41:04 619	ProcessID:1312,ThreadID:3092,RefCount:0
11:41:04 649	ProcessID:1312,ThreadID:2228,RefCount:0
11:42:34 949	Loader Device Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=1348
11:42:34 989	INFO:执行开始
11:42:35 029	INFO:开始测试设备
11:42:35 530	INFO:测试设备成功
11:42:35 810	INFO:开始写入ID_BLOCK
11:42:35 940	Flash Chip Information:
11:42:35 980	NO		SIZE(MB)	Manufacturer
11:42:36 170	----------------------------------------------
11:42:36 401	0		15028MB	SAMSUNG
11:42:36 591	----------------------------------------------
11:42:36 741	INFO:BuildFlashStateMap start
11:42:36 972	INFO: FindAllIDB start
11:42:37 392	INFO:UpdateIDBData start
11:42:38 133	INFO:Serial Number(0):
11:42:38 183	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:42:38 193	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:42:38 223	INFO:UID(0):
11:42:38 263	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:42:38 273	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
11:42:38 304	INFO:BlueTooth(0):
11:42:38 314	00000000: 00 00 00 00 00 00 
11:42:38 344	INFO:Mac(0):
11:42:38 384	00000000: 00 00 00 00 00 00 
11:42:38 464	INFO:WriteXIDBlock start
11:42:38 544	INFO:MakeEccSpareData start
11:42:38 604	INFO:WriteXIDBlock start
11:42:38 674	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
11:42:38 724	INFO:Writing sector 00000000 ~ 00000015 ... 
11:42:38 854	INFO:Reading sector 00000000 ~ 00000015 ... 
11:42:38 974	INFO:check start
11:42:39 015	INFO:Writing sector 00000016 ~ 00000031 ... 
11:42:39 135	INFO:Reading sector 00000016 ~ 00000031 ... 
11:42:39 255	INFO:check start
11:42:39 325	INFO:Writing sector 00000032 ~ 00000047 ... 
11:42:39 425	INFO:Reading sector 00000032 ~ 00000047 ... 
11:42:39 525	INFO:check start
11:42:39 545	INFO:Writing sector 00000048 ~ 00000063 ... 
11:42:39 635	INFO:Reading sector 00000048 ~ 00000063 ... 
11:42:39 716	INFO:check start
11:42:39 746	INFO:Writing sector 00000064 ~ 00000079 ... 
11:42:39 876	INFO:Reading sector 00000064 ~ 00000079 ... 
11:42:40 036	INFO:check start
11:42:40 076	INFO:Writing sector 00000080 ~ 00000095 ... 
11:42:40 166	INFO:Reading sector 00000080 ~ 00000095 ... 
11:42:40 276	INFO:check start
11:42:40 326	INFO:Writing sector 00000096 ~ 00000111 ... 
11:42:40 467	INFO:Reading sector 00000096 ~ 00000111 ... 
11:42:40 607	INFO:check start
11:42:40 657	INFO:Writing sector 00000112 ~ 00000127 ... 
11:42:40 777	INFO:Reading sector 00000112 ~ 00000127 ... 
11:42:40 897	INFO:check start
11:42:40 927	INFO:Writing sector 00000128 ~ 00000143 ... 
11:42:40 977	INFO:Reading sector 00000128 ~ 00000143 ... 
11:42:41 098	INFO:check start
11:42:41 148	INFO:Writing sector 00000144 ~ 00000159 ... 
11:42:41 308	INFO:Reading sector 00000144 ~ 00000159 ... 
11:42:41 418	INFO:check start
11:42:41 468	INFO:Writing sector 00000160 ~ 00000175 ... 
11:42:41 578	INFO:Reading sector 00000160 ~ 00000175 ... 
11:42:41 668	INFO:check start
11:42:41 718	INFO:Writing sector 00000176 ~ 00000191 ... 
11:42:41 959	INFO:Reading sector 00000176 ~ 00000191 ... 
11:42:42 069	INFO:check start
11:42:42 129	INFO:Writing sector 00000192 ~ 00000207 ... 
11:42:42 199	INFO:Reading sector 00000192 ~ 00000207 ... 
11:42:42 259	INFO:check start
11:42:42 289	INFO:Writing sector 00000208 ~ 00000223 ... 
11:42:42 449	INFO:Reading sector 00000208 ~ 00000223 ... 
11:42:42 520	INFO:check start
11:42:42 570	INFO:Writing sector 00000224 ~ 00000239 ... 
11:42:42 670	INFO:Reading sector 00000224 ~ 00000239 ... 
11:42:42 740	INFO:check start
11:42:42 810	INFO:Writing sector 00000240 ~ 00000247 ... 
11:42:42 900	INFO:Reading sector 00000240 ~ 00000247 ... 
11:42:42 970	INFO:check start
11:42:43 050	INFO:Writeing the 2th ID Block，Pos：00001024(SEC)
11:42:43 070	INFO:Writing sector 00001024 ~ 00001039 ... 
11:42:43 150	INFO:Reading sector 00001024 ~ 00001039 ... 
11:42:43 251	INFO:check start
11:42:43 281	INFO:Writing sector 00001040 ~ 00001055 ... 
11:42:43 401	INFO:Reading sector 00001040 ~ 00001055 ... 
11:42:43 481	INFO:check start
11:42:43 521	INFO:Writing sector 00001056 ~ 00001071 ... 
11:42:43 561	INFO:Reading sector 00001056 ~ 00001071 ... 
11:42:43 641	INFO:check start
11:42:43 671	INFO:Writing sector 00001072 ~ 00001087 ... 
11:42:43 721	INFO:Reading sector 00001072 ~ 00001087 ... 
11:42:43 791	INFO:check start
11:42:43 851	INFO:Writing sector 00001088 ~ 00001103 ... 
11:42:43 962	INFO:Reading sector 00001088 ~ 00001103 ... 
11:42:44 042	INFO:check start
11:42:44 052	INFO:Writing sector 00001104 ~ 00001119 ... 
11:42:44 222	INFO:Reading sector 00001104 ~ 00001119 ... 
11:42:44 292	INFO:check start
11:42:44 302	INFO:Writing sector 00001120 ~ 00001135 ... 
11:42:44 392	INFO:Reading sector 00001120 ~ 00001135 ... 
11:42:44 492	INFO:check start
11:42:44 512	INFO:Writing sector 00001136 ~ 00001151 ... 
