18:13:24 827	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=1472
18:13:24 857	INFO:执行开始
18:13:24 877	INFO:开始测试设备
18:13:25 998	INFO:测试设备成功
18:13:26 028	INFO:开始下载文件
18:13:26 109	INFO: Start to download files to flash,backup offset=0x20000
18:13:26 159	INFO:开始下载文件到Flash
18:13:26 179	Info:RKA_File_Download start,file=kernel,offset=0x4000
18:13:28 532	INFO: Download files to flash finished,Total(7757872)B
18:13:28 542	INFO: Start to check data
18:13:28 572	INFO:开始校验下载数据
18:13:28 622	Info:RKA_File_Check start,file=kernel,offset=0x4000
18:13:30 735	INFO:下载文件成功,耗时(4657MS)
18:13:31 086	INFO:执行成功
