14:33:36 203	Load Setting ok
14:34:40 221	INFO:Reading sector 00004192 ~ 00004207 ... 
14:34:40 223	INFO:check start
14:34:40 223	INFO:Writing sector 00004208 ~ 00004223 ... 
14:34:40 227	INFO:Reading sector 00004208 ~ 00004223 ... 
14:34:40 229	INFO:check start
14:34:40 229	INFO:Writing sector 00004224 ~ 00004239 ... 
14:34:40 233	INFO:Reading sector 00004224 ~ 00004239 ... 
14:34:40 235	INFO:check start
14:34:40 235	INFO:Writing sector 00004240 ~ 00004255 ... 
14:34:40 239	INFO:Reading sector 00004240 ~ 00004255 ... 
14:34:40 240	INFO:check start
14:34:40 241	INFO:Writing sector 00004256 ~ 00004271 ... 
14:34:40 245	INFO:Reading sector 00004256 ~ 00004271 ... 
14:34:40 247	INFO:check start
14:34:40 247	INFO:Writing sector 00004272 ~ 00004287 ... 
14:34:40 251	INFO:Reading sector 00004272 ~ 00004287 ... 
14:34:40 252	INFO:check start
14:34:40 253	INFO:Writing sector 00004288 ~ 00004303 ... 
14:34:40 257	INFO:Reading sector 00004288 ~ 00004303 ... 
14:34:40 258	INFO:check start
14:34:40 259	INFO:Writing sector 00004304 ~ 00004319 ... 
14:34:40 263	INFO:Reading sector 00004304 ~ 00004319 ... 
14:34:40 264	INFO:check start
14:34:40 265	INFO:Writing sector 00004320 ~ 00004335 ... 
14:34:40 269	INFO:Reading sector 00004320 ~ 00004335 ... 
14:34:40 270	INFO:check start
14:34:40 271	INFO:Writing sector 00004336 ~ 00004343 ... 
14:34:40 273	INFO:Reading sector 00004336 ~ 00004343 ... 
14:34:40 286	INFO:check start
14:34:40 289	INFO:Writeing the 3th ID Block，Pos：00008192(SEC)
14:34:40 289	INFO:Writing sector 00008192 ~ 00008207 ... 
14:34:40 293	INFO:Reading sector 00008192 ~ 00008207 ... 
14:34:40 295	INFO:check start
14:34:40 295	INFO:Writing sector 00008208 ~ 00008223 ... 
14:34:40 299	INFO:Reading sector 00008208 ~ 00008223 ... 
14:34:40 301	INFO:check start
14:34:40 301	INFO:Writing sector 00008224 ~ 00008239 ... 
14:34:40 305	INFO:Reading sector 00008224 ~ 00008239 ... 
14:34:40 306	INFO:check start
14:34:40 306	INFO:Writing sector 00008240 ~ 00008255 ... 
14:34:40 310	INFO:Reading sector 00008240 ~ 00008255 ... 
14:34:40 312	INFO:check start
14:34:40 312	INFO:Writing sector 00008256 ~ 00008271 ... 
14:34:40 316	INFO:Reading sector 00008256 ~ 00008271 ... 
14:34:40 318	INFO:check start
14:34:40 318	INFO:Writing sector 00008272 ~ 00008287 ... 
14:34:40 322	INFO:Reading sector 00008272 ~ 00008287 ... 
14:34:40 324	INFO:check start
14:34:40 324	INFO:Writing sector 00008288 ~ 00008303 ... 
14:34:40 328	INFO:Reading sector 00008288 ~ 00008303 ... 
14:34:40 330	INFO:check start
14:34:40 330	INFO:Writing sector 00008304 ~ 00008319 ... 
14:34:40 334	INFO:Reading sector 00008304 ~ 00008319 ... 
14:34:40 336	INFO:check start
14:34:40 336	INFO:Writing sector 00008320 ~ 00008335 ... 
14:34:40 340	INFO:Reading sector 00008320 ~ 00008335 ... 
14:34:40 342	INFO:check start
14:34:40 342	INFO:Writing sector 00008336 ~ 00008351 ... 
14:34:40 346	INFO:Reading sector 00008336 ~ 00008351 ... 
14:34:40 348	INFO:check start
14:34:40 348	INFO:Writing sector 00008352 ~ 00008367 ... 
14:34:40 352	INFO:Reading sector 00008352 ~ 00008367 ... 
14:34:40 354	INFO:check start
14:34:40 354	INFO:Writing sector 00008368 ~ 00008383 ... 
14:34:40 358	INFO:Reading sector 00008368 ~ 00008383 ... 
14:34:40 359	INFO:check start
14:34:40 360	INFO:Writing sector 00008384 ~ 00008399 ... 
14:34:40 364	INFO:Reading sector 00008384 ~ 00008399 ... 
14:34:40 365	INFO:check start
14:34:40 365	INFO:Writing sector 00008400 ~ 00008415 ... 
14:34:40 370	INFO:Reading sector 00008400 ~ 00008415 ... 
14:34:40 371	INFO:check start
14:34:40 371	INFO:Writing sector 00008416 ~ 00008431 ... 
14:34:40 375	INFO:Reading sector 00008416 ~ 00008431 ... 
14:34:40 377	INFO:check start
14:34:40 377	INFO:Writing sector 00008432 ~ 00008439 ... 
14:34:40 379	INFO:Reading sector 00008432 ~ 00008439 ... 
14:34:40 380	INFO:check start
14:34:40 382	INFO:Writeing the 4th ID Block，Pos：00012288(SEC)
14:34:40 382	INFO:Writing sector 00012288 ~ 00012303 ... 
14:34:40 386	INFO:Reading sector 00012288 ~ 00012303 ... 
14:34:40 388	INFO:check start
14:34:40 388	INFO:Writing sector 00012304 ~ 00012319 ... 
14:34:40 392	INFO:Reading sector 00012304 ~ 00012319 ... 
14:34:40 393	INFO:check start
14:34:40 394	INFO:Writing sector 00012320 ~ 00012335 ... 
14:34:40 398	INFO:Reading sector 00012320 ~ 00012335 ... 
14:34:40 399	INFO:check start
14:34:40 399	INFO:Writing sector 00012336 ~ 00012351 ... 
14:34:40 403	INFO:Reading sector 00012336 ~ 00012351 ... 
14:34:40 405	INFO:check start
14:34:40 405	INFO:Writing sector 00012352 ~ 00012367 ... 
14:34:40 409	INFO:Reading sector 00012352 ~ 00012367 ... 
14:34:40 411	INFO:check start
14:34:40 411	INFO:Writing sector 00012368 ~ 00012383 ... 
14:34:40 415	INFO:Reading sector 00012368 ~ 00012383 ... 
14:34:40 416	INFO:check start
14:34:40 417	INFO:Writing sector 00012384 ~ 00012399 ... 
14:34:40 421	INFO:Reading sector 00012384 ~ 00012399 ... 
14:34:40 422	INFO:check start
14:34:40 422	INFO:Writing sector 00012400 ~ 00012415 ... 
14:34:40 426	INFO:Reading sector 00012400 ~ 00012415 ... 
14:34:40 428	INFO:check start
14:34:40 428	INFO:Writing sector 00012416 ~ 00012431 ... 
14:34:40 432	INFO:Reading sector 00012416 ~ 00012431 ... 
14:34:40 434	INFO:check start
14:34:40 434	INFO:Writing sector 00012432 ~ 00012447 ... 
14:34:40 438	INFO:Reading sector 00012432 ~ 00012447 ... 
14:34:40 439	INFO:check start
14:34:40 440	INFO:Writing sector 00012448 ~ 00012463 ... 
14:34:40 444	INFO:Reading sector 00012448 ~ 00012463 ... 
14:34:40 446	INFO:check start
14:34:40 446	INFO:Writing sector 00012464 ~ 00012479 ... 
14:34:40 450	INFO:Reading sector 00012464 ~ 00012479 ... 
14:34:40 452	INFO:check start
14:34:40 452	INFO:Writing sector 00012480 ~ 00012495 ... 
14:34:40 456	INFO:Reading sector 00012480 ~ 00012495 ... 
14:34:40 458	INFO:check start
14:34:40 458	INFO:Writing sector 00012496 ~ 00012511 ... 
14:34:40 462	INFO:Reading sector 00012496 ~ 00012511 ... 
14:34:40 463	INFO:check start
14:34:40 464	INFO:Writing sector 00012512 ~ 00012527 ... 
14:34:40 468	INFO:Reading sector 00012512 ~ 00012527 ... 
14:34:40 469	INFO:check start
14:34:40 469	INFO:Writing sector 00012528 ~ 00012535 ... 
14:34:40 472	INFO:Reading sector 00012528 ~ 00012535 ... 
14:34:40 473	INFO:check start
14:34:40 475	INFO:Writeing the 5th ID Block，Pos：00016384(SEC)
14:34:40 476	INFO:Writing sector 00016384 ~ 00016399 ... 
14:34:40 480	INFO:Reading sector 00016384 ~ 00016399 ... 
14:34:40 482	INFO:check start
14:34:40 482	INFO:Writing sector 00016400 ~ 00016415 ... 
14:34:40 487	INFO:Reading sector 00016400 ~ 00016415 ... 
14:34:40 489	INFO:check start
14:34:40 490	INFO:Writing sector 00016416 ~ 00016431 ... 
14:34:40 494	INFO:Reading sector 00016416 ~ 00016431 ... 
14:34:40 496	INFO:check start
14:34:40 496	INFO:Writing sector 00016432 ~ 00016447 ... 
