16:08:02 670	Load Setting ok
16:08:02 961	RKAndroidTool v1.3.7.0 Start Run
16:08:02 981	Scan thread:204
16:08:03 061	ProcessID:1336,ThreadID:2624,RefCount:0
16:08:03 071	Info:(thread=1880)IoControlProc-->DeviceIoControl In
16:08:03 081	ProcessID:1336,ThreadID:1092,RefCount:0
16:08:03 101	ProcessID:1336,ThreadID:936,RefCount:0
16:08:03 121	ProcessID:1336,ThreadID:204,RefCount:0
16:08:03 201	Info:(thread=1880)IoControlProc-->DeviceIoControl Out,ret=1,err=0
16:10:16 573	Image Thread Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2892
16:10:16 583	INFO:执行开始
16:10:16 603	INFO:开始测试设备
16:10:16 653	INFO:测试设备成功
16:10:16 673	INFO:开始下载文件
16:10:16 703	INFO: Start to download files to flash,backup offset=0x20000
16:10:16 723	INFO:开始下载文件到Flash
16:10:16 743	Info:RKA_File_Download start,file=kernel,offset=0x4000
16:10:19 437	INFO: Download files to flash finished,Total(7700528)B
16:10:19 457	INFO: Start to check data
16:10:19 467	INFO:开始校验下载数据
16:10:19 477	Info:RKA_File_Check start,file=kernel,offset=0x4000
16:10:20 418	INFO:下载文件成功,耗时(3716MS)
16:10:20 479	INFO:执行成功
16:12:02 225	Loader Device Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=2808
16:12:02 245	INFO:执行开始
16:12:02 265	INFO:开始测试设备
16:12:03 367	INFO:测试设备成功
16:12:03 397	INFO:开始写入ID_BLOCK
16:12:03 417	Flash Chip Information:
16:12:03 427	NO		SIZE(MB)	Manufacturer
16:12:03 437	----------------------------------------------
16:12:03 477	0		8192MB	TOSHIBA
16:12:03 497	2		8192MB	TOSHIBA
16:12:03 507	----------------------------------------------
16:12:03 517	INFO:BuildFlashStateMap start
16:12:03 547	INFO: FindAllIDB start
16:12:03 677	INFO:UpdateIDBData start
