14:30:59 862	Load Setting ok
14:30:59 903	RKAndroidTool v1.3.7.0 Start Run
14:30:59 903	Scan thread:10120
14:30:59 904	Info:(thread=10368)IoControlProc-->DeviceIoControl In
14:30:59 917	ProcessID:1612,ThreadID:14136,RefCount:0
14:30:59 918	ProcessID:1612,ThreadID:10120,RefCount:0
14:30:59 918	ProcessID:1612,ThreadID:10368,RefCount:0
14:31:00 017	Info:(thread=10368)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:31:00 017	Info:(thread=4496)IoControlProc-->DeviceIoControl In
14:31:00 017	Info:(thread=4496)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:31:00 020	Info:(thread=19612)IoControlProc-->DeviceIoControl In
14:31:00 097	Info:(thread=19612)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:31:00 097	Info:(thread=24348)IoControlProc-->DeviceIoControl In
14:31:00 097	Info:(thread=24348)IoControlProc-->DeviceIoControl Out,ret=1,err=183
14:34:31 677	INFO:开始擦除IDB
14:34:31 678	INFO:开始低格设备
14:34:41 750	INFO:低格设备成功
14:34:41 757	INFO:擦除IDB成功
14:35:05 592	Loader Device Path(\\?\USB#VID_2207&PID_310B#6&90B4D50&0&2#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=25436
14:35:05 592	INFO:开始测试设备
14:35:05 593	INFO:执行开始
14:35:05 595	INFO:测试设备成功
14:35:05 597	INFO:开始写入ID_BLOCK
14:35:05 599	Flash Chip Information:
14:35:05 599	NO		SIZE(MB)	Manufacturer
14:35:05 600	----------------------------------------------
14:35:05 600	0		8192MB	MICRON
14:35:05 601	----------------------------------------------
14:35:05 601	INFO:BuildFlashStateMap start
14:35:05 602	INFO: FindAllIDB start
14:35:05 606	INFO:UpdateIDBData start
14:35:05 631	INFO:Serial Number(0):
14:35:05 631	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:35:05 631	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:35:05 632	INFO:UID(0):
14:35:05 632	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:35:05 632	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
14:35:05 632	INFO:BlueTooth(0):
14:35:05 632	00000000: 00 00 00 00 00 00 
14:35:05 633	INFO:Mac(0):
14:35:05 633	00000000: 00 00 00 00 00 00 
14:35:05 633	INFO:WriteXIDBlock start
14:35:05 634	INFO:MakeEccSpareData start
14:35:05 640	INFO:WriteXIDBlock start
14:35:05 642	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
14:35:05 642	INFO:Writing sector 00000000 ~ 00000015 ... 
14:35:05 648	INFO:Reading sector 00000000 ~ 00000015 ... 
14:35:05 650	INFO:check start
14:35:05 650	INFO:Writing sector 00000016 ~ 00000031 ... 
14:35:05 655	INFO:Reading sector 00000016 ~ 00000031 ... 
14:35:05 657	INFO:check start
14:35:05 657	INFO:Writing sector 00000032 ~ 00000047 ... 
14:35:05 663	INFO:Reading sector 00000032 ~ 00000047 ... 
14:35:05 664	INFO:check start
14:35:05 665	INFO:Writing sector 00000048 ~ 00000063 ... 
14:35:05 670	INFO:Reading sector 00000048 ~ 00000063 ... 
14:35:05 672	INFO:check start
14:35:05 672	INFO:Writing sector 00000064 ~ 00000079 ... 
14:35:05 677	INFO:Reading sector 00000064 ~ 00000079 ... 
14:35:05 679	INFO:check start
14:35:05 679	INFO:Writing sector 00000080 ~ 00000095 ... 
14:35:05 685	INFO:Reading sector 00000080 ~ 00000095 ... 
14:35:05 687	INFO:check start
14:35:05 687	INFO:Writing sector 00000096 ~ 00000111 ... 
14:35:05 692	INFO:Reading sector 00000096 ~ 00000111 ... 
14:35:05 694	INFO:check start
14:35:05 694	INFO:Writing sector 00000112 ~ 00000127 ... 
14:35:05 700	INFO:Reading sector 00000112 ~ 00000127 ... 
14:35:05 702	INFO:check start
14:35:05 702	INFO:Writing sector 00000128 ~ 00000143 ... 
14:35:05 707	INFO:Reading sector 00000128 ~ 00000143 ... 
14:35:05 709	INFO:check start
14:35:05 709	INFO:Writing sector 00000144 ~ 00000159 ... 
