20:01:37 132	Load Setting ok
20:01:37 543	RKAndroidTool v1.3.7.0 Start Run
20:01:37 583	Scan thread:2284
20:01:37 593	Info:(thread=3688)IoControlProc-->DeviceIoControl In
20:01:37 683	ProcessID:3832,ThreadID:2332,RefCount:0
20:01:37 693	Info:(thread=3688)IoControlProc-->DeviceIoControl Out,ret=1,err=0
20:01:37 713	ProcessID:3832,ThreadID:2976,RefCount:0
20:01:37 743	ProcessID:3832,ThreadID:2120,RefCount:0
20:01:37 763	ProcessID:3832,ThreadID:2284,RefCount:0
20:01:37 813	ProcessID:3832,ThreadID:3688,RefCount:0
20:02:28 987	Loader Device Path(\\?\USB#VID_2207&PID_310B#5&C1E6CCE&0&1#{a5dcbf10-6530-11d2-901f-00c04fb951ed}),ThreadID=356
20:02:29 027	INFO:执行开始
20:02:29 037	INFO:开始测试设备
20:02:29 147	INFO:测试设备成功
20:02:29 177	INFO:开始写入ID_BLOCK
20:02:29 207	Flash Chip Information:
20:02:29 227	NO		SIZE(MB)	Manufacturer
20:02:29 237	----------------------------------------------
20:02:29 297	0		8192MB	TOSHIBA
20:02:29 317	2		8192MB	TOSHIBA
20:02:29 327	----------------------------------------------
20:02:29 337	INFO:BuildFlashStateMap start
20:02:29 387	INFO: FindAllIDB start
20:02:29 497	INFO:UpdateIDBData start
20:02:29 768	INFO:Serial Number(0):
20:02:29 778	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
20:02:29 798	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
20:02:29 808	INFO:UID(0):
20:02:29 818	00000000: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
20:02:29 828	00000010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
20:02:29 838	INFO:BlueTooth(0):
20:02:29 858	00000000: 00 00 00 00 00 00 
20:02:29 868	INFO:Mac(0):
20:02:29 878	00000000: 00 00 00 00 00 00 
20:02:29 888	INFO:WriteXIDBlock start
20:02:29 918	INFO:MakeEccSpareData start
20:02:29 938	INFO:WriteXIDBlock start
20:02:29 988	INFO:Writeing the 1th ID Block，Pos：00000000(SEC)
20:02:30 018	INFO:Writing sector 00000000 ~ 00000015 ... 
20:02:30 078	INFO:Reading sector 00000000 ~ 00000015 ... 
20:02:30 108	INFO:check start
